M,Id,Max_Advantage,Gamma_value,Mean_disp,Mean_sqz,Adjacency_Matrix
6,0,1.9990041489603843,0.40816326530612246,3.2845613798654547,0.4561100228547592,[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
6,1,1.9020640606370574,0.40816326530612246,3.559089682106278,0.4905955669832333,[0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0]
6,2,1.9990041489603831,0.40816326530612246,3.284561379865456,0.45611002285475927,[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0]
6,3,1.999004148960378,0.40816326530612246,3.28456137986546,0.45611002285475927,[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
7,0,1.7250880589540432,0.30612244897959184,2.259687717179644,0.5380892047013518,"[0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1
 1 0 1 0 0 0 0 0 0 1 0 0]"
7,1,1.7766141335426386,0.40816326530612246,3.1653477717617666,0.41904761904761917,"[0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
7,2,1.8131527493891433,0.30612244897959184,2.1646863995080716,0.48385320548878835,"[0 1 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 1 1 0 0 0]"
7,3,1.859258676455117,0.30612244897959184,2.0198637827813215,0.45091843101454937,"[0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 1 1 0 0 0 0 0 0 0 0 0 0]"
8,0,1.4220461074638044,0.30612244897959184,2.4528838882232544,0.5929902929941869,"[0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0]"
8,1,1.553193505670587,0.30612244897959184,2.189409853723305,0.4905955669832325,"[0 1 1 1 1 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]"
8,2,1.5941447170188934,0.30612244897959184,2.388815517491315,0.523137937052127,"[0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0]"
8,3,1.553193505670587,0.30612244897959184,2.189409853723305,0.4905955669832325,"[0 1 1 1 1 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]"
9,0,1.3514591481817166,0.30612244897959184,2.6887223574066064,0.6075917425609594,"[0 1 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
 1 0 0 0 0 0 0]"
9,1,1.5094377519249,0.30612244897959184,2.783373241692481,0.5528114068790136,"[0 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0
 1 1 0 0 0 0 0]"
9,2,1.371452456732155,0.30612244897959184,2.7717488780104436,0.5846934471601031,"[0 1 1 1 0 1 1 0 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 1 0 0]"
9,3,1.3960328793840475,0.30612244897959184,2.836459681332936,0.5947159934650288,"[0 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 1 0 0 1 1 0 1 1 1 0 1 1 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0
 0 0 0 0 1 0 0]"
10,0,1.3323589939008762,0.20408163265306123,1.3439262813409054,0.5938911892383362,"[0 1 1 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0
 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0]"
10,1,1.3094395306264135,0.20408163265306123,1.485218130231084,0.6627044521934004,"[0 1 1 1 0 0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0
 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1
 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0]"
10,2,1.2059534498920268,0.20408163265306123,1.3533452581481793,0.6910133652381517,"[0 1 1 1 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0
 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0]"
10,3,1.2049834823288288,0.20408163265306123,1.2843643236306574,0.6712913398388264,"[0 1 1 1 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0
 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]"
