M,Id,Max_Advantage,Gamma_value,Mean_sqz,Adjacency_Matrix
6,0,1.497495928874077,0.2631578947368421,(0.5836849082965075+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
6,1,1.7162309724166709,0.2631578947368421,(0.5459614493542756+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0]
6,2,1.4452300914075094,0.2631578947368421,(0.6699939041842533+0j),[0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0]
6,3,1.4825693089512453,0.2631578947368421,(0.6075923024063473+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0]
6,4,1.5293906249401368,0.2631578947368421,(0.5380320839527687+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,5,1.5293906249401368,0.2631578947368421,(0.5380320839527687+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,6,1.4974959288740763,0.2631578947368421,(0.5836849082965073+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
6,7,1.442614115595161,0.2631578947368421,(0.6489540891412398+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0]
6,8,1.6706669957135534,0.2631578947368421,(0.5831442483019342+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0]
6,9,1.5731163163358812,0.2631578947368421,(0.5774504703159261+0j),[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
