M,Id,Max_Advantage,Gamma_value,Mean_disp,Mean_sqz,Adjacency_Matrix
6,0,2.1560924655747993,0.40816326530612246,3.4242716960214343,0.45091843101454854,[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0]
6,1,1.90206406063706,0.40816326530612246,3.5590896821062747,0.4905955669832325,[0 1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0]
6,2,1.9990041489603843,0.40816326530612246,3.2845613798654547,0.4561100228547592,[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
6,3,1.999004148960378,0.40816326530612246,3.28456137986546,0.45611002285475927,[0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
7,0,1.6699060131746934,0.30612244897959184,2.2449782789371415,0.5229270104315104,"[0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 0 1 0 0 0 0]"
7,1,1.6787235427979343,0.30612244897959184,2.020754513432886,0.5100230311718843,"[0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 0 1 0 0 0 0]"
7,2,1.740669284339985,0.30612244897959184,1.9412767299435818,0.45611002285475927,"[0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0]"
7,3,2.032968398136478,0.30612244897959184,2.4009860472947304,0.4815600273581105,"[0 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 1
 1 0 0 0 0 0 1 0 1 0 0 0]"
8,0,1.4654411993596297,0.30612244897959184,2.238721017991207,0.5627919930931025,"[0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]"
8,1,1.6914386517290956,0.30612244897959184,2.3547703710440846,0.490298735155416,"[0 1 1 1 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0]"
8,2,1.585669749752884,0.30612244897959184,2.5631991044933367,0.5352365695248831,"[0 1 1 1 0 0 0 1 1 0 1 1 0 0 1 0 1 1 0 1 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 1 0
 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0]"
8,3,1.4930534625784135,0.30612244897959184,2.3250772625993497,0.5385443017496881,"[0 1 1 1 0 1 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]"
9,0,1.5415592113610375,0.30612244897959184,2.757935279767793,0.5408675162125268,"[0 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 1 0 1 1 0 1 0 0 0 1 0 1 1 1 0 0 1 0 0 1 0
 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0
 0 1 0 0 0 0 0]"
9,1,1.489592547886822,0.30612244897959184,2.8409544609934647,0.5768261204592584,"[0 1 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 1 1 0 0 0
 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 1 1 0 0]"
9,2,1.3556102473483826,0.30612244897959184,2.589292235962476,0.5519122602834498,"[0 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0]"
9,3,1.4231398009215763,0.30612244897959184,2.629290244854781,0.5482046167579349,"[0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1
 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
 0 0 0 0 0 0 0]"
10,0,1.3543432657360526,0.20408163265306123,1.388715013638965,0.5895106284197181,"[0 1 1 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0
 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0]"
10,1,1.4168163772187952,0.20408163265306123,1.5267877037217812,0.6083390811105382,"[0 1 1 1 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 0 0 1 1 1 1 0 1 0 1
 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0]"
10,2,1.4233129631640244,0.30612244897959184,2.978031268571296,0.562717467639141,"[0 1 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]"
