M,Id,Max_Advantage,Gamma_value,Mean_sqz,Adjacency_Matrix
6,0,1.765733895087771,0.2631578947368421,(0.45611002285476027+0j),[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
6,1,1.8501592302362715,0.2631578947368421,(0.4796257597487842+0j),[0 1 1 1 1 1 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0]
6,2,1.7844754720497817,0.2631578947368421,(0.41904761904761917+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,3,1.8411308017107777,0.2631578947368421,(0.4838532054887874+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0]
6,4,1.7448330498060867,0.2631578947368421,(0.4905955669832319+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0]
6,5,1.8711660201645732,0.2631578947368421,(0.4509184310145486+0j),[0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0]
6,6,1.8254916705880393,0.2631578947368421,(0.49159150740021323+0j),[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0]
6,7,1.7844754720497817,0.2631578947368421,(0.41904761904761917+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,8,1.8619721759699546,0.2631578947368421,(0.5040607082540868+0j),[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0]
6,9,1.712071309268654,0.2631578947368421,(0.5092493834237041+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0]
6,10,1.765733895087771,0.2631578947368421,(0.45611002285476027+0j),[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
6,11,1.7657338950877708,0.2631578947368421,(0.45611002285475927+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0]
6,12,1.7448330498060869,0.2631578947368421,(0.49059556698323314+0j),[0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0]
6,13,1.7338239314278507,0.2631578947368421,(0.5256748590558056+0j),[0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0]
6,14,1.7657338950877712,0.2631578947368421,(0.4561100228547592+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
6,15,5.406062091456751,0.5263157894736842,(0.24844305308659217+0j),[0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0]
6,16,1.765733895087771,0.2631578947368421,(0.45611002285476027+0j),[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
6,17,1.765733895087771,0.2631578947368421,(0.45611002285476027+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
