M,Id,Max_Advantage,X_Index,Y_Index,Gamma_Index,C_Index
6,0,0.4541221162427527,,,0.0,8.0
6,1,0.44615044213100563,,,0.0,8.0
6,2,0.44615044213100563,,,0.0,8.0
6,3,0.4541221162427525,,,0.0,8.0
6,4,0.46213143015605557,,,0.0,8.0
6,5,0.44615044213100563,,,0.0,8.0
6,6,0.4541221162427528,,,0.0,8.0
6,7,0.4748513819294967,,,0.0,8.0
6,8,0.5064193800950579,,,0.0,8.0
6,9,0.4621314301560553,,,0.0,8.0
6,10,0.4792123560217757,,,0.0,8.0
6,11,0.4541221162427527,,,0.0,8.0
6,12,0.4541221162427527,,,0.0,8.0
6,13,0.44615044213100563,,,0.0,8.0
6,14,0.4604568678419863,,,0.0,8.0
6,15,0.45412211624275317,,,0.0,8.0
6,16,0.44615044213100563,,,0.0,8.0
6,17,0.46045686784198686,,,0.0,8.0
6,18,0.44615044213100563,,,0.0,8.0
6,19,0.4541221162427531,,,0.0,8.0
6,20,0.506279277675653,,,0.0,8.0
6,21,0.46045686784198686,,,0.0,8.0
6,22,0.5043686756650823,,,0.0,8.0
6,23,0.47485138192949666,,,0.0,8.0
6,24,0.46128155964027184,,,0.0,8.0
6,25,0.479212356021776,,,0.0,8.0
6,26,0.5064193800950579,,,0.0,8.0
6,27,0.47954837002623935,,,0.0,8.0
6,28,0.44615044213100563,,,0.0,8.0
6,29,0.49432119064145114,,,0.0,8.0
6,30,0.4612815596402724,,,0.0,8.0
6,31,0.45412211624275245,,,0.0,8.0
6,32,0.4541221162427525,,,0.0,8.0
6,33,0.4541221162427527,,,0.0,8.0
6,34,0.4541221162427528,,,0.0,8.0
6,35,0.4541221162427527,,,0.0,8.0
6,36,0.5062792776756534,,,0.0,8.0
6,37,0.4541221162427525,,,0.0,8.0
6,38,0.49374023202247624,,,0.0,8.0
6,39,0.46128155964027173,,,0.0,8.0
6,40,0.47954837002623946,,,0.0,8.0
6,41,0.45730374753423936,,,0.0,8.0
6,42,0.47921235602177575,,,0.0,8.0
6,43,0.45412211624275245,,,0.0,8.0
6,44,0.47954837002623935,,,0.0,8.0
6,45,0.44615044213100563,,,0.0,8.0
6,46,0.46213143015605557,,,0.0,8.0
6,47,0.44615044213100563,,,0.0,8.0
6,48,0.49432119064144986,,,0.0,8.0
6,49,0.4748513819294963,,,0.0,8.0
6,50,0.4541221162427531,,,0.0,8.0
6,51,0.4621314301560553,,,0.0,8.0
6,52,0.47485138192949644,,,0.0,8.0
6,53,0.47485138192949683,,,0.0,8.0
6,54,0.4541221162427525,,,0.0,8.0
6,55,0.47485138192949644,,,0.0,8.0
6,56,0.44615044213100563,,,0.0,8.0
6,57,0.47485138192949666,,,0.0,8.0
6,58,0.45412211624275245,,,0.0,8.0
