M,Id,Max_Advantage,Gamma_value,Mean_sqz,Adjacency_Matrix
6,0,2.0536364817389954,0.40816326530612246,(0.47962575974878424+0j),[0 1 1 1 1 1 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0]
6,1,1.9990041489603831,0.40816326530612246,(0.45611002285475927+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0]
6,2,2.0334528997741823,0.40816326530612246,(0.5040607082540868+0j),[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0]
6,3,1.90206406063706,0.40816326530612246,(0.4905955669832325+0j),[0 1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0]
6,4,2.0536364817389976,0.40816326530612246,(0.47962575974878374+0j),[0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0]
6,5,1.9990041489603798,0.40816326530612246,(0.45611002285476027+0j),[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
6,6,1.9020640606370527,0.40816326530612246,(0.4905955669832337+0j),[0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0]
6,7,1.9990041489603843,0.40816326530612246,(0.4561100228547592+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
6,8,2.0986759205654177,0.40816326530612246,(0.41904761904761917+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,9,2.040379394270717,0.40816326530612246,(0.48385320548878813+0j),[0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0]
6,10,2.3426896708279497,0.40816326530612246,(0.4556770981942173+0j),[0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0]
6,11,2.015116615041128,0.40816326530612246,(0.4915915074002148+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0]
6,12,2.156092465574798,0.40816326530612246,(0.4509184310145498+0j),[0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
6,13,2.0986759205654177,0.40816326530612246,(0.41904761904761917+0j),[0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,14,1.8503318364629397,0.30612244897959184,(0.5256748590558077+0j),[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0]
6,15,1.9990041489603798,0.40816326530612246,(0.45611002285476027+0j),[0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
