,succ_gbs,succ_uni,sim_params
0,77.62096774193549,35.08064516129033,
1,78.4771573604061,34.72081218274112,
2,77.95753286147624,33.872598584428715,
3,79.71602434077079,35.902636916835704,
4,78.07106598984772,34.31472081218274,
5,77.21261444557477,34.89318413021363,
6,79.95930824008138,33.5707019328586,
7,76.82926829268293,34.146341463414636,
8,78.96865520728008,33.56926188068756,
9,78.84615384615384,36.032388663967616,
10,79.28571428571428,33.775510204081634,
11,80.1015228426396,35.63451776649747,
12,76.7983789260385,33.63728470111449,
13,80.24193548387096,34.87903225806452,
14,81.05906313645622,37.169042769857434,
15,77.7439024390244,36.78861788617886,
16,79.33130699088146,34.04255319148936,
17,76.03640040444894,34.27704752275025,
18,79.20892494929006,34.98985801217038,
19,77.66497461928934,33.90862944162436,
20,78.76016260162602,33.13008130081301,
21,78.69520897043833,34.76044852191641,
22,79.4478527607362,36.70756646216769,
23,79.59390862944163,32.89340101522843,
24,79.14547304170905,32.65513733468973,
25,78.36198179979777,34.681496461071795,
26,75.55555555555556,33.43434343434343,
27,75.86558044806517,35.84521384928717,
28,77.59674134419552,33.29938900203666,
29,78.26086956521739,34.580384226491404,
30,76.38036809815951,31.79959100204499,
31,78.33163784333672,33.87589013224822,
32,79.04374364191251,33.36724313326551,
33,79.32790224032587,37.78004073319756,
34,78.65168539325843,34.831460674157306,
35,78.55691056910568,36.99186991869919,
36,78.55691056910568,34.45121951219512,
37,77.72177419354838,35.08064516129033,
38,75.95573440643864,33.400402414486926,
39,76.8762677484787,37.52535496957404,
40,79.8582995951417,32.48987854251012,
41,79.12867274569402,37.38601823708207,
42,77.7439024390244,32.82520325203252,
43,76.70396744659207,37.33468972533062,
44,76.8056968463886,35.09664292980671,
45,81.17408906882592,35.72874493927126,
46,79.16666666666666,35.36585365853659,
47,77.92472024415056,37.23296032553408,
48,80.44354838709677,33.36693548387097,
49,77.60891590678824,34.14387031408308,
50,76.89161554192229,34.151329243353786,
51,78.52077001013171,36.98074974670719,
52,78.419452887538,33.73860182370821,
53,80.32454361054768,34.5841784989858,
54,77.85642062689585,30.63700707785642,
55,78.46938775510203,33.57142857142857,
56,79.24720244150559,35.19837232960326,
57,78.00201816347125,33.19878910191726,
58,76.60223804679552,34.68972533062055,
59,78.19472616632859,35.699797160243406,
60,79.08629441624365,33.90862944162436,
61,79.20892494929006,33.67139959432049,
62,76.70396744659207,34.89318413021363,
63,78.419452887538,32.32016210739615,
64,79.474216380182,34.78260869565217,
65,76.1025641025641,32.92307692307692,
66,79.77642276422763,34.65447154471545,
67,78.43336724313326,33.5707019328586,
68,77.46192893401015,34.82233502538071,
69,79.73657548125634,33.83991894630192,
70,76.60223804679552,32.044760935910475,
71,77.37003058103976,33.43527013251784,
72,76.3874873864783,35.11604439959637,
73,75.45454545454545,34.34343434343434,
74,79.0273556231003,33.43465045592705,
75,78.57868020304568,36.6497461928934,
76,78.419452887538,35.15704154002026,
77,78.81873727087576,35.03054989816701,
78,78.61507128309573,36.252545824847246,
79,79.0909090909091,31.414141414141415,
80,78.01635991820041,33.537832310838446,
81,78.01418439716312,34.447821681864234,
82,78.57868020304568,33.70558375634518,
83,79.28934010152284,36.751269035533,
84,78.75383043922369,33.8100102145046,
85,78.81873727087576,36.456211812627295,
86,79.7979797979798,35.25252525252525,
87,77.77777777777779,33.53720693170234,
88,78.07106598984772,35.93908629441624,
89,77.69929364278507,32.49243188698285,
90,77.41607324516785,36.31739572736521,
91,77.23577235772358,35.56910569105691,
92,75.88652482269504,35.25835866261398,
93,79.00608519269777,34.98985801217038,
94,77.58620689655173,34.48275862068966,
95,76.72764227642277,35.36585365853659,
96,78.0835881753313,34.5565749235474,
97,79.313824419778,32.996972754793134,
98,80.38617886178862,33.84146341463415,
99,78.57868020304568,34.82233502538071,
alpha,,,2.1
conv,,,real
hbar,,,2
loss_mode,,,0.5
n_subspace,,,24
save,,,True
target_ncoh,,,10
target_nsqz,,,2.34
tau,,,1.1
