runtime,score,params,succRate,std_dev_succRate
5.003697538375855,5.62040086571715,0.3696752122712563,76.47911776804287,0.9213007736522328
390.33365244865416,4.7567325479427085,0.3432403457182495,20.46743320516466,1.4569275043730294
172.8295913219452,4.0084276841057145,0.35482580316556045,6.780950241856144,0.4382736505813521
136.0027668952942,2.7520889299850033,0.31517267340059985,7.933608236592081,0.5256618078608654
226.2489309310913,,0.29812704950636587,7.950743978763873,1.146051939044322
399.8504904747009,,0.2712330274226068,8.84315279641195,0.8580722349197907
36.9276819229126,-3.750284625526748,0.0,53.18766082367533,6.171361268757166
23.25078949928284,-10.05549758438407,0.0,55.902492261686135,5.939581985167435
19.888135719299317,-28.602370226894685,0.0,54.44943851733749,2.5137313162531454
6.7189990997314455,-4141.46268198252,0.0,55.70932569474744,2.127718045178881
