[5, 11, 13, 14, 16, 19, 20, 22],
[1, 2, 4, 6, 7, 8, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[0, 1, 2, 6, 7, 8, 17, 23],
[0, 1, 2, 6, 7, 8, 17, 23],
[5, 11, 12, 13, 14, 18, 19, 20],
[5, 11, 14, 15, 16, 19, 20, 22],
[2, 3, 4, 8, 9, 10, 17, 23],
[5, 11, 12, 13, 14, 18, 19, 20],
[5, 10, 12, 13, 14, 18, 19, 20],
[1, 2, 4, 7, 8, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[0, 1, 2, 7, 8, 10, 17, 23],
[2, 3, 4, 8, 9, 10, 17, 23],
[0, 1, 2, 8, 9, 10, 17, 23],
[5, 11, 13, 14, 16, 18, 19, 20],
[5, 10, 12, 13, 14, 18, 19, 20],
[2, 3, 4, 7, 8, 10, 17, 23],
[2, 3, 4, 6, 7, 8, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[0, 1, 2, 6, 7, 8, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[0, 6, 7, 8, 15, 16, 21, 22],
[0, 1, 2, 8, 9, 10, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[1, 2, 4, 6, 7, 8, 17, 23],
[2, 3, 4, 6, 7, 8, 17, 23],
[5, 11, 13, 14, 16, 18, 19, 20],
[1, 2, 4, 8, 9, 10, 17, 23],
[5, 11, 14, 15, 16, 19, 20, 22],
[5, 11, 13, 14, 16, 20, 21, 22],
[0, 1, 2, 6, 7, 8, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[2, 3, 4, 8, 9, 10, 17, 23],
[5, 11, 14, 15, 16, 20, 21, 22],
[2, 3, 4, 6, 7, 8, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[5, 11, 13, 14, 16, 19, 20, 22],
[0, 1, 2, 8, 9, 10, 17, 23],
[1, 2, 4, 8, 9, 10, 17, 23],
[1, 2, 4, 8, 9, 10, 17, 23],
[5, 11, 13, 14, 16, 19, 20, 22],
[0, 1, 2, 7, 8, 10, 17, 23],
[2, 3, 4, 8, 9, 10, 17, 23],
[5, 11, 14, 15, 16, 20, 21, 22],
[0, 6, 7, 8, 15, 16, 21, 22],
[5, 11, 12, 13, 14, 19, 20, 22],
[5, 10, 12, 13, 14, 18, 19, 20],
[0, 6, 7, 8, 15, 16, 21, 22],
[0, 6, 7, 8, 15, 16, 21, 22],
[0, 1, 2, 7, 8, 10, 17, 23],
[5, 11, 14, 15, 16, 19, 20, 22],
[0, 6, 7, 8, 15, 16, 21, 22],
[5, 11, 13, 14, 16, 18, 19, 20],
[5, 11, 14, 15, 16, 20, 21, 22],
[1, 2, 4, 7, 8, 10, 17, 23],
[1, 2, 4, 6, 7, 8, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[5, 11, 13, 14, 16, 18, 19, 20],
[0, 1, 2, 8, 9, 10, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[5, 11, 12, 13, 14, 19, 20, 22],
[5, 11, 14, 15, 16, 19, 20, 22],
[1, 2, 4, 8, 9, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[2, 3, 4, 8, 9, 10, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[1, 2, 4, 6, 7, 8, 17, 23],
[2, 3, 4, 6, 7, 8, 17, 23],
[5, 11, 13, 14, 16, 18, 19, 20],
[2, 3, 4, 8, 9, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[5, 11, 14, 15, 16, 20, 21, 22],
[5, 11, 14, 15, 16, 20, 21, 22],
[5, 11, 13, 14, 16, 18, 19, 20],
[5, 11, 12, 13, 14, 18, 19, 20],
[0, 1, 2, 8, 9, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[1, 2, 4, 7, 8, 10, 17, 23],
[0, 1, 2, 8, 9, 10, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[0, 1, 2, 8, 9, 10, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[5, 11, 14, 15, 16, 19, 20, 22],
[0, 1, 2, 7, 8, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[5, 11, 12, 13, 14, 19, 20, 22],
[1, 2, 4, 7, 8, 10, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[5, 10, 12, 13, 14, 18, 19, 20],
[1, 2, 4, 7, 8, 10, 17, 23],
[2, 3, 4, 6, 7, 8, 17, 23],
[1, 2, 4, 8, 9, 10, 17, 23],
[0, 1, 2, 8, 9, 10, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[1, 2, 4, 8, 9, 10, 17, 23],
[5, 11, 12, 13, 14, 19, 20, 22],
[1, 2, 4, 7, 8, 10, 17, 23],
[5, 11, 12, 13, 14, 18, 19, 20],
[5, 11, 12, 13, 14, 18, 19, 20],
[0, 1, 2, 7, 8, 10, 17, 23],
[0, 1, 2, 8, 9, 10, 17, 23],
[5, 10, 12, 13, 14, 18, 19, 20],
[2, 3, 4, 6, 7, 8, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[0, 1, 2, 8, 9, 10, 17, 23],
[5, 11, 13, 14, 16, 19, 20, 22],
[0, 6, 7, 8, 15, 16, 21, 22],
[1, 2, 4, 7, 8, 10, 17, 23],
[5, 11, 14, 15, 16, 20, 21, 22],
[1, 2, 4, 8, 9, 10, 17, 23],
[1, 2, 4, 8, 9, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[2, 3, 4, 7, 8, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[0, 1, 2, 8, 9, 10, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[2, 3, 4, 8, 9, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[0, 1, 2, 8, 9, 10, 17, 23],
[0, 6, 7, 8, 15, 16, 21, 22],
[1, 2, 4, 8, 9, 10, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[1, 2, 4, 7, 8, 10, 17, 23],
[5, 11, 13, 14, 16, 19, 20, 22],
[2, 3, 4, 7, 8, 10, 17, 23],
[2, 3, 4, 7, 8, 10, 17, 23],
[0, 1, 2, 8, 9, 10, 17, 23],
[2, 3, 4, 8, 9, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
[0, 1, 2, 7, 8, 10, 17, 23],
