7.728099818040030655e-01,7.843821441463121324e-01,7.760081328363266362e-01,7.835772002620658983e-01,7.891380593049208692e-01,7.949464489965685221e-01,7.986225328947368363e-01,8.124809121449658722e-01,8.182187056198011454e-01,8.102786752827140226e-01
7.808181693802161982e-01,7.791441219872110580e-01,7.921898398801981989e-01,7.901835065222198029e-01,8.021555863835235778e-01,8.109411024942361212e-01,8.083100196870790510e-01,8.178835110746515147e-01,8.237270875763746947e-01,8.248456008909588189e-01
7.871541776727375428e-01,7.910095616540420149e-01,7.971621307280762903e-01,7.958569996658870771e-01,8.035272609958059586e-01,7.974830795262267680e-01,8.137009189640768136e-01,8.142710472279260925e-01,8.292682926829267887e-01,8.332656789121170027e-01
7.796260654385482880e-01,8.008728179551121151e-01,7.991822429906541014e-01,8.031496062992126150e-01,8.088347296268088016e-01,8.117460317460317709e-01,8.152321335419927539e-01,8.177791512154923836e-01,8.291611321140288648e-01,8.286033974163360405e-01
7.872160293495131800e-01,7.972134262191261644e-01,7.980382888206097869e-01,7.987832356917530241e-01,8.040843070874740262e-01,8.143024369479622271e-01,8.218258132214060208e-01,8.192621680272810236e-01,8.294406883835279132e-01,8.382653061224489832e-01
7.848656294200848649e-01,7.930333079074497471e-01,8.042911332385016543e-01,8.068684121047262625e-01,8.147577092511013586e-01,8.208346743911597576e-01,8.141333890863474698e-01,8.216434945009338797e-01,8.358500256805341255e-01,8.422979156075239837e-01
7.829907866761162127e-01,7.986896197327851832e-01,7.966364503816794063e-01,8.027218664226897227e-01,8.086822047939908886e-01,8.055466324017559465e-01,8.227621752392973997e-01,8.248311688311688039e-01,8.306476444626911260e-01,8.374846876276030860e-01
7.979740333856468748e-01,7.901330233759524813e-01,8.059809477872904582e-01,8.137490007993605223e-01,8.117215302491103124e-01,8.177212460924867532e-01,8.201041334608436539e-01,8.273418776701052524e-01,8.318739054290718027e-01,8.297720069522543929e-01
7.982036795596116896e-01,7.924725561944589991e-01,8.059338521400778443e-01,8.027570361860999482e-01,8.110609232125151058e-01,8.191247974068071036e-01,8.267683185091062592e-01,8.273117603937585329e-01,8.369284755908762419e-01,8.425536282459201720e-01
7.922775439105821382e-01,8.020887728459530353e-01,7.943460325163794744e-01,8.103587495674241525e-01,8.133169478270584341e-01,8.122903819106350731e-01,8.264480408858603244e-01,8.245411641321447327e-01,8.375944519200910765e-01,8.380708055413031987e-01
