File,WaveData20250407_005.csv,
Date/Time,25-04-07/21:30,

Trace,A
Center Wavelength,775.16,nm
Span Wavelength,10,nm
Start Wavelength,770.16,nm
Stop Wavelength,780.16,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.049,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,770.16,nm
Stop,780.16,nm

774.460000,4.0790E-006
774.480000,3.8790E-006
774.500000,4.2320E-006
774.520000,4.6460E-006
774.540000,4.5570E-006
774.560000,4.7570E-006
774.580000,4.7330E-006
774.600000,5.1080E-006
774.620000,5.8490E-006
774.640000,5.3690E-006
774.660000,5.1110E-006
774.680000,6.0110E-006
774.700000,6.1000E-006
774.720000,6.4690E-006
774.740000,6.4260E-006
774.760000,7.1070E-006
774.780000,6.7160E-006
774.800000,6.4680E-006
774.820000,6.9280E-006
774.840000,7.5540E-006
774.860000,7.4130E-006
774.880000,7.6460E-006
774.900000,8.1770E-006
774.920000,8.5910E-006
774.940000,8.8180E-006
774.960000,8.5140E-006
774.980000,9.3140E-006
775.000000,8.4470E-006
775.020000,8.6370E-006
775.040000,8.8090E-006
775.060000,9.4670E-006
775.080000,9.9450E-006
775.100000,9.3910E-006
775.120000,1.0390E-005
775.140000,9.9290E-006
775.160000,1.0050E-005
775.180000,1.0160E-005
775.200000,9.9900E-006
775.220000,9.7270E-006
775.240000,8.9080E-006
775.260000,8.2900E-006
775.280000,8.4000E-006
775.300000,7.4470E-006
775.320000,8.0470E-006
775.340000,6.9290E-006
775.360000,7.2630E-006
775.380000,5.9560E-006
775.400000,5.9380E-006
775.420000,5.2690E-006
775.440000,5.4120E-006
775.460000,4.7240E-006
775.480000,4.2510E-006
775.500000,4.3490E-006
775.520000,3.8920E-006
775.540000,3.8360E-006
775.560000,3.3240E-006
775.580000,3.4050E-006
775.600000,2.9080E-006
775.620000,3.0010E-006
775.640000,2.8820E-006
775.660000,2.4090E-006
775.680000,2.3900E-006
775.700000,2.4230E-006
775.720000,1.9930E-006
775.740000,1.8580E-006
775.760000,1.6970E-006
775.780000,1.7660E-006
775.800000,1.2840E-006
775.820000,1.1470E-006
775.840000,1.2070E-006
775.860000,9.6630E-007
775.880000,1.1410E-006
775.900000,7.4690E-007
775.920000,7.0470E-007
775.940000,7.2390E-007
775.960000,8.1880E-007
775.980000,5.3770E-007
776.000000,4.3220E-007
776.020000,3.7940E-007
776.040000,6.1920E-007
776.060000,2.4600E-007
776.080000,2.4540E-007
776.100000,2.3140E-007
776.120000,3.2150E-007
776.140000,6.9370E-008
776.160000,3.0600E-007
776.180000,2.2680E-007
776.200000,2.3370E-007
776.220000,3.7810E-007
776.240000,3.6770E-008
776.260000,2.8820E-008
776.280000,2.5730E-008
776.300000,4.6200E-007
776.320000,2.1400E-007
776.340000,6.4920E-008
776.360000,1.6040E-007
776.380000,2.1860E-007
776.400000,-2.0200E-008
776.420000,1.3300E-007
776.440000,1.6700E-007
776.460000,1.3550E-007
776.480000,-1.4920E-007
776.500000,9.2310E-008
776.520000,2.2770E-007
776.540000,2.4530E-007
776.560000,-1.4170E-007
776.580000,6.0750E-008
776.600000,2.8270E-007
776.620000,2.2870E-007
776.640000,2.5030E-008
776.660000,-1.8460E-007
776.680000,-2.5320E-008
776.700000,3.9020E-008
776.720000,1.3320E-007
776.740000,1.0180E-007
776.760000,-6.0650E-008
776.780000,-4.5100E-007
776.800000,6.0310E-008
776.820000,3.3800E-008
776.840000,1.8880E-008
776.860000,6.7920E-008
776.880000,-5.7850E-009
776.900000,-2.1000E-008
776.920000,1.9170E-008
776.940000,2.3210E-007
776.960000,-1.7640E-008
776.980000,2.6510E-007
777.000000,1.8240E-007
777.020000,1.4520E-007
777.040000,1.9150E-007
777.060000,1.2150E-007
777.080000,2.2840E-007
777.100000,1.0900E-007
777.120000,1.3360E-008
777.140000,1.2110E-007
777.160000,2.4740E-007
777.180000,2.4520E-007
777.200000,1.0580E-007
777.220000,3.5360E-007
777.240000,-1.9100E-008
777.260000,2.4320E-007
777.280000,1.1480E-007
777.300000,2.8450E-007
777.320000,2.4440E-007
777.340000,1.9990E-007
777.360000,-1.7500E-007
777.380000,7.5690E-008
777.400000,2.5460E-007
777.420000,1.8460E-007
777.440000,2.0730E-007
777.460000,1.3610E-007
777.480000,1.8170E-007
777.500000,1.4080E-007
777.520000,2.6300E-008
777.540000,1.4290E-007
777.560000,-4.6230E-008
777.580000,1.4760E-007
777.600000,9.6040E-008
777.620000,-2.9420E-007
777.640000,2.1730E-008
777.660000,2.2640E-008
777.680000,1.6290E-008
777.700000,-2.4440E-008
777.720000,-3.1350E-008
777.740000,1.7790E-007
777.760000,2.6670E-007
777.780000,-9.9470E-009
777.800000,1.3650E-007
777.820000,7.5340E-009
777.840000,2.2310E-007
777.860000,-1.6260E-007
777.880000,1.6290E-007
777.900000,1.0500E-007
777.920000,-1.4170E-007
777.940000,1.7690E-007
777.960000,-1.8290E-007
777.980000,4.7510E-008
778.000000,-9.2920E-008
778.020000,1.6050E-007
778.040000,3.0060E-007
778.060000,-1.3570E-007
778.080000,5.1970E-008
778.100000,3.4410E-007
778.120000,1.5970E-007
778.140000,4.2680E-007
778.160000,-1.0530E-007
778.180000,1.7670E-007
778.200000,2.6640E-007
778.220000,1.5830E-007
778.240000,3.1220E-007
778.260000,9.4120E-008
778.280000,-6.6830E-008
778.300000,-2.6970E-009
778.320000,-1.1140E-007
778.340000,2.6780E-007
778.360000,-6.6510E-008
778.380000,3.1330E-007
778.400000,-1.4970E-008
778.420000,2.3430E-007
778.440000,4.1000E-008
778.460000,2.0210E-007
778.480000,2.7690E-007
778.500000,1.2850E-007
778.520000,2.1940E-007
778.540000,-1.9960E-007
778.560000,-1.4550E-007
778.580000,2.4160E-007
778.600000,2.5210E-007
778.620000,3.2170E-007
778.640000,2.0770E-007
778.660000,3.5320E-007
778.680000,-1.1540E-007
778.700000,1.5150E-007
778.720000,5.9480E-007
778.740000,-8.6490E-009
778.760000,2.6650E-007
778.780000,2.6260E-007
778.800000,1.2720E-007
778.820000,1.8650E-007
778.840000,1.6820E-007
778.860000,-1.4170E-007
778.880000,6.8190E-008
778.900000,3.7550E-007
778.920000,6.5470E-009
778.940000,3.2240E-007
778.960000,6.4840E-008
778.980000,1.0550E-007
779.000000,-7.8800E-008
779.020000,3.0830E-007
779.040000,2.6240E-007
779.060000,7.6320E-008
779.080000,1.0720E-007
779.100000,3.1660E-007
779.120000,3.0190E-007
779.140000,1.7220E-008
779.160000,1.9520E-007
779.180000,-7.0040E-008
779.200000,2.2960E-007
779.220000,1.4680E-007
779.240000,9.9000E-008
779.260000,1.7250E-007
779.280000,1.1320E-007
779.300000,-1.3390E-007
779.320000,-2.2500E-008
779.340000,-6.0110E-008
779.360000,-6.3960E-008
779.380000,1.1250E-007
779.400000,-7.2530E-008
779.420000,-2.2780E-008
779.440000,3.7320E-007
779.460000,2.4160E-007
779.480000,1.1090E-007
779.500000,2.5750E-007
779.520000,1.0050E-008
779.540000,-6.5270E-008
779.560000,-3.4560E-008
779.580000,-2.5110E-008
779.600000,3.3410E-007
779.620000,6.3350E-007
779.640000,3.8650E-008
779.660000,4.5410E-007
779.680000,8.9680E-008
779.700000,-1.5990E-007
779.720000,1.3060E-007
779.740000,2.0840E-007
779.760000,-5.8340E-008
779.780000,3.3510E-007
779.800000,1.1450E-007
779.820000,2.3290E-007
779.840000,-1.0420E-007
779.860000,1.4480E-007
779.880000,8.2440E-008
779.900000,1.6190E-007
779.920000,1.8750E-007
779.940000,2.7910E-007
779.960000,3.6840E-007
779.980000,-1.7640E-009
780.000000,1.5930E-007
780.020000,1.2870E-007
780.040000,-1.6800E-007
780.060000,1.2150E-007
780.080000,8.9860E-008
780.100000,3.2590E-007
780.120000,3.9020E-007
780.140000,1.9130E-007
780.160000,1.4670E-009
